letter_id,letter_name,sender,recipient,recipient_english,year,date,location,location_english,text,text_english,letter_category,to
124,"Letter to A. B. Goldenweiser, 1897",Sergei Rachmaninoff,А. Б. Гольденвейзеру,A. B. Goldenweiser,1897,1894–1897,Москва,Moscow,"Многоуважаемый Александр Борисович!
 
 
 Не согласитесь ли Вы сыграть со мной мою фантазию для 2 фортепиано в четверг на шестой неделе. Вы, кажется, её играли. Этот вечер будет в среде музыкантов. Если Вы согласны, то Вы, может быть, найдёте возможным ко мне зайти до отъезда в Петербург, или мне назначить час, чтобы условиться — какую Вы будете играть. Репетиции мы успеем сделать по Вашем приезде на шестой неделе.
 
 
 Уважающий Вас С. Рахманинов
 
 
 © https://senar.ru/letters/124","Dear Alexander Borisovich!

Would you agree to play my fantasy for 2 pianos with me on Thursday in the sixth week? I think you played it. This evening will be among musicians. If you agree, then perhaps you will find it possible to come to me before leaving for Petersburg, or I can set an hour to agree on which one you will play. We will have time to do rehearsals upon your arrival in the sixth week.

Yours sincerely, S. Rachmaninov

© https://senar.ru/letters/124""",professional: logistics,neutral
103,"Letter to A. K. Glazunov, 1897",Sergei Rachmaninoff,А. К. Глазунову,A. K. Glazunov,1897,1897-01-11,Москва,Moscow,"Многоуважаемый Александр Константинович!
 
 
 Простите меня, пожалуйста, за беспокойство, но мне очень хочется знать, когда моя Симфония назначена к исполнению. Меня смутил один знакомый, приехавший только из Петербурга, который сказал мне, что будто она назначена на 18-е января. Хотя я и мало этому верю, но я бы хотел всё-таки слышать подтверждение от Вас.
 
 
 Если Вас не затруднит, то сообщите также, кто будет дирижировать и переписывают ли её у Вас на партии, или это мне лучше здесь сделать.
 
 
 Затем я хотел Вас очень поблагодарить за назначение моей Симфонии вообще в Вашу программу.
 
 
 Жду Вашего ответа.
 
 
 Уважающий Вас С. Рахманинов
 
 
 Мой адрес: Москва, Арбат, Серебряный переулок, дом Погожевой, квартира № 4.
 
 
 © https://senar.ru/letters/103","Dear Alexander Konstantinovich!
 
 Please forgive me for disturbing you, but I really want to know when my Symphony is scheduled for performance. I was confused by one acquaintance who just arrived from St. Petersburg, who told me that it was supposedly scheduled for January 18th. Although I hardly believe this, I would still like to hear confirmation from you.
 
 If it is not too much trouble, please also let me know who will conduct and whether you are rewriting it into parts, or if it is better for me to do it here.
 
 Then I would like to thank you very much for scheduling my Symphony in your program.
 
 I await your reply.
 
 Yours sincerely, S. Rachmaninov
 
 My address: Moscow, Arbat, Serebryany Pereulok, Pogozheva's house, apartment No. 4.",professional: logistics,ailing
102,"Letter to A. V. Zatayevich, 1897",Sergei Rachmaninoff,А. В. Затаевичу,A. V. Zatayevich,1897,1897-01-03,Москва,Moscow,"Поздравляю Вас, милый друг Александр Викторович, с новым годом, в котором желаю Вам, во-первых, счастья — а во-вторых, побольше сочинять и сочинять.
 
 
 Я очень удивляюсь, что не получаю от Вас до сих пор писем. Последнее своё письмо к Вам отправил 13-го декабря. Оно было послано заказным, а посему пропасть не могло. Я сообщал Вам в нём, что Юргенсон согласился напечатать три Ваших вещи и чтобы Вы поэтому присылали мне их скорей. Дал в нём кое-какие сведения о себе для журнала. Неужели же моя прислуга это письмо не отправила. По правде сказать, расписки я не спрашивал... Посылаю Вам для журнала свой портрет. Лично для Вас пришлю дней через десять.
 
 
 Уважающий Вас С. Рахманинов
 
 
 © https://senar.ru/letters/102","Congratulations to you, my dear friend Alexander Viktorovich, on the New Year, in which I wish you, firstly, happiness - and secondly, to compose and compose more.
 
 I am very surprised that I have not received letters from you yet. I sent my last letter to you on December 13th. It was sent by registered mail, and therefore could not have disappeared. I informed you in it that Jurgenson had agreed to print three of your works and that you should therefore send them to me as soon as possible. I gave some information about myself for the magazine. Could it be that my servant did not send this letter? To tell the truth, I did not ask for a receipt... I am sending you my portrait for the magazine. I will send it to you personally in about ten days.
 
 Yours sincerely, S. Rachmaninov",personal: check-in,fatigued
105,"Letter to A. V. Zatayevich, 1897",Sergei Rachmaninoff,А. В. Затаевичу,A. V. Zatayevich,1897,1897-02-10,Москва,Moscow,"Милый друг Александр Викторович!
 
 
 Я был нездоров всё последнее время. Причиной нездоровья был «рассеянный» образ жизни, вообще такая жизнь, которая мне теперь безусловно запрещена и которой я сам уже больше не надеюсь жить.
 
 
 За какой-нибудь месяц я совсем расклеился и только сейчас подумываю о том, что пора бы и заниматься начать, а также ответить на те письма, которые этого давно уже требуют.
 
 
 Вчера я получил Ваше письмо и Ваши вещи. Одну из них я отправил Вам обратно, вместе с моими фортепианными вещами. Она не годится, потому что она совсем не фортепианна. К тому же название её «хор». Всякий может вполне резонно спросить: почему же это для хора и не сделано? ведь не может же фортепиано заменить его. То же самое нахожу и я, прибавляя к этому, что в хоре эта вещь будет звучать гораздо лучше и музыка эта будет более уместна (характернее) со словами. Мне только кажется (а я могу, конечно, ошибаться), что сами слова, выбранные Вами, не подходят для музыки, и вот почему. Они заставляют Вас через каждую строчку делать остановку, а Вы это ещё сами подчёркиваете, т. е. заставляете и аккомпанемент сидеть на одном месте, когда он мог бы двигаться прекрасно на выдержанных нотах в голосах. В продолжение первой страницы остановки постоянные мне нравились, когда же они стали повторяться и на следующей странице, то мне показалось уж это неестественным. Всё-таки эта вещь оригинальна, и это мне более всего в Ваших вещах нравится. Вторую вещь я оставляю у себя. Она, по правде сказать, мне нравится меньше, чем хор. Зато, что мне уже совсем не нравится, это то, что Вы мало пишете. Эти две вещи, как Вы говорите, Вы вытащили из старого хлама. Что же Вы новое пишете? Если ничего, то мне это очень грустно. Если же это что-нибудь и не для фортепиано, то почему же всё-таки Вы мне этого не присылаете, а кормите только обещаниями? Так заниматься нельзя, милый друг. Вам нужно столько работать, сколько у Вас есть свободного времени. У Вас есть талант, а Вы об этом, как будто, знать не хотите.
 
 
 Пришлите мне непременно ещё две фортепианные вещи. Я, может быть, устрою, чтоб Юргенсон все 4 напечатал. Вам это, конечно, нужно — об этом и говорить нечего, — а Вы всё экономничаете присылками. Присылайте их скорее, а то когда же это всё выйдет из печати?
 
 
 Простите меня также за нотацию.
 
 
 Уважающий Вас С. Рахманинов","Dear friend Alexander Viktorovich!
 
 I have been unwell all of late. The reason for my ill health was my ""distracted"" way of life, in general a life that is now absolutely forbidden to me and which I myself no longer hope to live.
 
 In the last month or so I have completely fallen apart and only now am I thinking that it is time to start studying and also to answer those letters that have been demanding it for a long time.
 
 Yesterday I received your letter and your things. I sent you one of them back, together with my piano things. It is no good, because it is not a piano at all. Besides, its name is ""choir"". Anyone can quite reasonably ask: why hasn't this been done for a choir? After all, a piano cannot replace it. I find the same thing, adding to this that this thing will sound much better in a choir and this music will be more appropriate (more characteristic) with the words. It just seems to me (and I could be wrong, of course) that the words you chose are not suitable for the music, and here's why. They make you pause every line, and you emphasize it yourself, i.e., you make the accompaniment sit in one place, when it could move beautifully on sustained notes in the voices. Throughout the first page, I liked the constant pauses, but when they began to repeat on the next page, it seemed unnatural to me. Still, this thing is original, and that's what I like most about your things. I'm keeping the second thing. To tell the truth, I like it less than the choir. But what I don't like at all is that you write little. These two things, as you say, you pulled out of the old trash. What new things are you writing? If nothing, then it makes me very sad. If this is not something for the piano, then why don't you send it to me, but feed me only with promises? You can't study like that, my dear friend. You need to work as much as you have free time. You have talent, but you don't seem to want to know about it.
 
 Send me two more piano pieces by all means. I can perhaps arrange for Jurgenson to print all four. Of course, you need this - there's no need to talk about that - but you're still being frugal with sending them. Send them quickly, otherwise when will all this come out?
 
 Forgive me for the lecture.
 
 Yours sincerely, S. Rachmaninov
 
 © https://senar.ru/letters/105",personal: apology,neutral
108,"Letter to A. V. Zatayevich, 1897",Sergei Rachmaninoff,А. В. Затаевичу,A. V. Zatayevich,1897,1897-03-09,Москва,Moscow,"Через три часа я уезжаю в Петербург, милый друг Александр Викторович. Спешу Вас уведомить, что присланная Вами вещь не годится для первого opus’а печати, который должен быть насколько возможно интересным, дабы издатель согласился бы печатать следующие Ваши сочинения. Я считаю пока только 3-ю мазурку годной для этого первого opus’а. Не сердитесь на меня и будьте уверены, что только искреннее расположение к Вам и вера в то, что Вы можете написать что-нибудь лучшее, заставляют меня быть строгим и разборчивым.
 
 
 Преданный Вам С. Рахманинов
 
 
 P. S. Пожелайте моей Симфонии успеха.","In three hours I am leaving for St. Petersburg, my dear friend Alexander Viktorovich. I hasten to inform you that the thing you sent me is not suitable for the first opus of the press, which must be as interesting as possible so that the publisher would agree to print your next works. For now, I consider only the 3rd mazurka suitable for this first opus. Do not be angry with me and be assured that only my sincere affection for you and the belief that you can write something better make me be strict and discerning.
 
 Yours faithfully, S. Rachmaninov
 
 P.S. Wish my Symphony success.",professional: composition,melancholy
110,"Letter to A. V. Zatayevich, 1897",Sergei Rachmaninoff,А. В. Затаевичу,A. V. Zatayevich,1897,1897-05-06 / 1897-05-07,Москва,Moscow,"Я давно не писал писем, милый друг Александр Викторович. Ни Вам, ни другим. Главная причина этому — моя слабость, которая заставляет меня всё время лежать. Это ежегодное моё весеннее состояние. Лежу и изредка читаю. Сочинять тоже не могу. Длится всё это до моего приезда в деревню, где я быстро прихожу в себя и начинаю работать, так что теперь я только и мечтаю об отъезде... Я Вас не благодарил ещё за поздравительную телеграмму к моему рождению, которая меня очень тронула Вашей памятью. Не сообщал Вам также впечатлений после исполнения моей первой Симфонии. Сделаю это теперь, хотя мне это и трудно, так как до сих пор не могу в них разобраться сам. Верно только то, что меня совсем не трогает неуспех, что меня совсем не обескураживает руготня газет — но зато меня глубоко огорчает и на меня тяжело действует то, что мне самому моя Симфония, несмотря на то, что я её очень любил, раньше, сейчас люблю, после первой же репетиции совсем не понравилась... Значит, плохая инструментовка, скажете Вы. Но я уверен, отвечу я, что хорошая музыка будет «просвечивать» и сквозь плохую инструментовку, а я не нахожу, чтоб инструментовка была совсем неудачна. Остаётся, значит, два предположения. Или я, как некоторые авторы, отношусь незаслуженно пристрастно к этому сочинению, или это сочинение было плохо исполнено. А это действительно было так. Я удивляюсь, как такой высокоталантливый человек, как Глазунов, может так плохо дирижировать? Я не говорю уже о дирижёрской технике (её у него и спрашивать нечего), я говорю о его музыкальности. Он ничего не чувствует, когда дирижирует. Он как будто ничего не понимает! Когда однажды у Антона Рубинштейна спросили за ужином, как ему нравится певец N, певший партию Демона, то Рубинштейн, вместо ответа, взял ножик и поставил его перед спрашивающим перпендикулярно. Я могу сказать то же самое. Итак, я допускаю, что исполнение могло быть причиной провала. (Я не утверждаю, а я допускаю.) Если бы эта Симфония была бы знакома публике, то она обвиняла бы дирижёра (я продолжаю «допускать»), если же вещь незнакома и плохо исполнена, то публика склонна обвинить композитора. Это, кажется, вероятная точка зрения. Тем более, что эта Симфония, если и не декадентская, как пишут и как понимают это слово, то действительно немного «новая». Значит, её уж нужно сыграть по точнейшим указаниям автора, который, может быть, помирил бы хоть этим немного себя с публикой, и публику с произведением (т. е. произведение для публики было бы в этом случае более понятно). Не потому ли и моим приятелям, ездившим в Петербург, она не понравилась (не публика, а Симфония), хотя, когда я сам играл им её, они говорили другое. В данную минуту, как видите, склонен думать, что виновато исполнение. Завтра, вероятно, и это мнение переменю. От Симфонии всё-таки не откажусь. Через полгода, когда она облежится, посмотрю её, может быть, поправлю её и, может быть, напечатаю — а может быть, и пристрастие тогда пройдёт. Тогда разорву её...
 
 
 Теперь о Вас. Пишете ли Вы что-нибудь? Так как я уезжаю, печать Ваших вещей придётся отложить до осени. Летом Вы их приготовите побольше. Может быть, и все напечатаем.
 
 
 Крепко жму Вашу руку.
 
 
 С. Рахманинов
 
 
 P. S. Не пишите мне больше на Москву. Дождитесь летнего адреса, который на днях сообщу.
 
 
 Вчера написал Вам это письмо. Сегодня же узнал место и время моего отъезда и жительства. Выезжаю 13-го. Адрес мой: Нижегородская губ., Княгининский уезд. Почтовая станция Игнатово. Его превосходительству Д. А. Скалону с передачей мне.
 
 
 © https://senar.ru/letters/110","""I haven't written letters for a long time, my dear friend Alexander Viktorovich. Neither to you nor to anyone else. The main reason for this is my weakness, which makes me lie down all the time. This is my annual spring state. I lie down and occasionally read. I can't compose either. All this lasts until my arrival in the village, where I quickly come to my senses and begin to work, so that now I only dream of leaving... I haven't thanked you yet for the congratulatory telegram on my birthday, which touched me very much with your memory. I also haven't told you about my impressions after the performance of my first Symphony. I will do this now, although it is difficult for me, since I still cannot sort them out myself. The only thing that is true is that I am not at all touched by failure, that I am not at all discouraged by the abuse of the newspapers - but what deeply upsets me and has a hard effect on me is that my Symphony, despite the fact that I loved it very much before, I love it now, after the very first rehearsal, is not at all I liked it... So, bad instrumentation, you will say. But I am sure, I will answer, that good music will ""shine through"" even bad instrumentation, and I do not think that the instrumentation was completely unsuccessful. So, there remain two assumptions. Either I, like some authors, am unfairly partial to this composition, or this composition was poorly performed. And this was indeed the case. I am surprised that such a highly talented person as Glazunov can conduct so badly? I am not even talking about conducting technique (there is nothing to ask him about it), I am talking about his musicality. He feels nothing when he conducts. It is as if he does not understand anything! When Anton Rubinstein was once asked at dinner how he liked the singer N, who sang the part of the Demon, Rubinstein, instead of answering, took a knife and put it perpendicularly in front of the questioner. I can say the same. So, I admit that the performance could have been the reason for the failure. (I am not asserting, but I am admitting.) If this Symphony were familiar to the public, it would blame the conductor (I continue to “admit”), but if the piece is unfamiliar and poorly performed, the public is inclined to blame the composer. This seems to be a probable point of view. Moreover, this Symphony, if not decadent, as they write and understand this word, is indeed a little “new”. This means that it must be played according to the most precise instructions of the author, who, perhaps, would at least reconcile himself with the public a little by this, and the public with the work (i.e., the work would be more understandable for the public in this case). Isn’t that why my friends who went to Petersburg didn’t like it (not the public, but the Symphony), although when I played it for them myself, they said something different. At the moment, as you see, I am inclined to think that the performance is to blame. Tomorrow, I will probably change this opinion too. I will not give up the Symphony after all. In six months, when it is covered, I will look at it, maybe correct it and maybe print it - and maybe the passion will pass then. Then I will tear it up...
 
 Now about you. Are you writing anything? Since I am leaving, the printing of your things will have to be postponed until autumn. In the summer you will prepare more of them. Maybe we will print everything.
 
 I shake your hand firmly.
 
 S. Rachmaninov
 
 P.S. Do not write to me any more to Moscow. Wait for the summer address, which I will inform you in a few days.
 
 Yesterday I wrote you this letter. Today I learned the place and time of my departure and residence. I am leaving on the 13th. My address: Nizhny Novgorod province, Knyagininsky district. Post office Ignatovo. To His Excellency D. A. Skalon with delivery to me.
 
 © https://senar.ru/letters/110""",professional: logistics,despair
114,"Letter to A. V. Zatayevich, 1897",Sergei Rachmaninoff,А. В. Затаевичу,A. V. Zatayevich,1897,1897-07-31,"им. Игнатово, Нижегородской губ","Ignatovo, Vladimir Oblast","Что с Вами, милый друг Александр Викторович?
 
 
 Очень хочу узнать что-нибудь про Вас? Почему Вы мне не пишете? Получили ли Вы моё письмо, которое я Вам написал перед отъездом сюда в деревню? Занимаетесь ли Вы? Буду ждать с нетерпением ответа на поставленные вопросы. Что касается меня, то я немного поправился и окреп — это единственно то, чего я достигал за всё это, уже проходящее, лето. Пишите же мне, пожалуйста.
 
 
 Преданный Вам С. Рахманинов
 
 
 Мой адрес: Нижегородская губерния, Княгининский уезд, почтовое отделение Крутец. Генералу Скалону с передачей С. В. Рахманинову.
 
 
 © https://senar.ru/letters/114","What's wrong with you, dear friend Alexander Viktorovich?
 
 I really want to know something about you? Why don't you write to me? Did you receive my letter that I wrote to you before leaving here to the village? Are you studying? I will eagerly await the answer to the questions posed. As for me, I have recovered a little and become stronger - this is the only thing I have achieved during this summer, which is already passing. Write to me, please.
 
 Yours faithfully, S. Rachmaninov
 
 My address: Nizhny Novgorod province, Knyagininsky district, Krutets post office. To General Skalon with delivery to S. V. Rachmaninov.
 
 © https://senar.ru/letters/114",personal: check-in,neutral
115,"Letter to A. V. Zatayevich, 1897",Sergei Rachmaninoff,А. В. Затаевичу,A. V. Zatayevich,1897,1897-09-04,"им. Игнатово, Нижегородской губ","Ignatovo, Vladimir Oblast","Ваши оба письма я получил, милый друг Александр Викторович, очень благодарю Вас за них. Простите за поздний ответ. Причина всё та же, т. е. непростительная лень и поблажки, которые я позволяю себе делать всё последнее время. И моя болезнь почек, а посему — в начале лета ни ходить, ни сидеть много не мог. Я лежал только и усиленно лечился. Теперь я поправился. Боли меня почти оставили. Благодаря этой болезни мне никакая работа на ум не шла и я ничего ровно не написал. Но не жалею об этом, лишь бы поправиться совсем. По приезде в Москву начну заниматься непременно. Назначил свой отъезд отсюда на десятое число этого месяца. Ввиду этого и прошу Вас переслать мне Ваши новые вещи (которые я жду с большим нетерпением) уже в Москву. Если Вы позабыли мой старый адрес, то вот он: Москва, Арбат, Серебряный переулок, дом Погожевой, квартира № 4.
 
 
 Я буду очень рад их просмотреть и надеюсь, что этой посылки Вашей будет достаточно, чтобы приступить сейчас же к печати этих вещей. Очень хочу этого, так же как и успеха Вам. Жму Вашу руку.
 
 
 Уважающий Вас С. Рахманинов
 
 
 © https://senar.ru/letters/115","I received both your letters, my dear friend Alexander Viktorovich, and I thank you very much for them. Forgive me for the late reply. The reason is still the same, i.e. unforgivable laziness and indulgences that I allow myself to make lately. And my kidney disease, and therefore - at the beginning of the summer I could neither walk nor sit for long. I only lay down and intensively treated myself. Now I have recovered. The pain has almost left me. Thanks to this illness, no work came to mind and I wrote nothing at all. But I do not regret it, if only I could recover completely. Upon arrival in Moscow, I will certainly begin to study. I have scheduled my departure from here for the tenth of this month. In view of this, I ask you to send me your new things (which I am waiting for with great impatience) to Moscow. If you have forgotten my old address, here it is: Moscow, Arbat, Serebryanny Lane, Pogozheva's house, apartment No. 4.
 
 I will be very glad to look through them and I hope that this parcel of yours will be enough to start printing these things right now. I want this very much, as well as success to you. I shake your hand.
 
 Yours sincerely, S. Rachmaninov
 
 © https://senar.ru/letters/115",professional: logistics,neutral
119,"Letter to A. V. Zatayevich, 1897",Sergei Rachmaninoff,А. В. Затаевичу,A. V. Zatayevich,1897,1897-11-04,Москва,Moscow,"Я очень долго Вам не писал, милый друг Александр Викторович, но, ей-богу же, не будет преувеличением, если я скажу, что по случаю своей новой должности, в которой я новичок и в которую я и до сих пор не втянулся — я занят 12 часов в день. Я так уставал и так устаю, что, верьте мне, ни о чём другом и помышлять не мог. Но у меня есть к Вам дело. Перехожу скорей к нему. Высылаю Вам все полученные мной Ваши сочинения. Из них две мазурки и G-dur’ное Feuille d’album помечены мной для печати. Как-то недели полторы тому назад я урвал час времени для поправки кой-каких мелочей, что мне удалось, а также для переделки концов Ваших мазурок, что мне удалось только в одной из них и то неважно. Я говорю сейчас про a-moll’ную. В ней прежде всего я выпустил четыре такта. Или согласитесь с этим или повторите эту вторую тему в какой-нибудь другой более интересной обработке. Перед кодой необходимо заключение в главном тоне, что я и сделал. Если это Вас не удовлетворит (каюсь, очень спешил), то напишите что-нибудь сами, только непременно руководствуясь выше приведёнными правилами. Что касается приложенного мной заключения, то я с ним вполне мирюсь, и если опять-таки оно Вас не удовлетворит, то и опять-таки придумайте что-нибудь сами. Только помните, что прежний Ваш конец положительно не годится. Он портит всю предыдущую музыку. Получается такое впечатление, точно Вам захотелось скорее кончить, как бы это ни вышло. Не дали себе труда придумать что-нибудь более интересное. Даже не интересное, а просто что-нибудь более подходящее. В G-dur’ном Andante поправки ничтожные. Не распространяюсь! Но вся беда в F-dur’ной мазурке. Там всё хорошо, кроме заключения. Ваше — никуда не годится. Моё, хотя и мотивированное предыдущим, тоже никуда не годится. Я довольно долго над ним сидел, но ничего не придумал. В конце концов решил, что автор такой оригинальной мазурки должен и финал сам к ней придумать. Ему это легче. А может быть, мой, вытекающий из предыдущего финала, и натолкнёт Вас на что-нибудь более возможное. Только опять-таки так этого оставить нельзя. Не сердитесь на меня за это и, главное, не ленитесь ещё посидеть над этим. Помните, что это собственно первая печать Ваших вещей, что от этого зависит и дальнейший Ваш успех у издателя. Отнеситесь к себе, пожалуйста, в этом случае строго. Заставьте себя всё это переделать. Ведь Вы же, конечно, это можете и в силах переделать. Я совсем не желаю, чтобы критики Вас обругали за такие необдуманные, ни к селу, ни к городу прицепленные концы. Ведь так эти вещи никто играть не согласится, а вещи ведь хорошие.
 
 
 Теперь ещё хочу сказать Вам, что F-dur’ную мазурку, как более бравурную, лучше поместить последним номером. Итак поправляйте всё это скорее и высылайте мне скорей обратно. С печатью Вас не задержу.
 
 
 Крепко жму Вашу руку. Преданный Вам и желающий Вам успеха
 
 
 С. Рахманинов
 
 
 © https://senar.ru/letters/119","I haven't written to you for a very long time, my dear friend Alexander Viktorovich, but, by God, it won't be an exaggeration if I say that on account of my new position, in which I am a newcomer and which I still haven't gotten used to, I am busy 12 hours a day. I was and am so tired that, believe me, I couldn't think of anything else. But I have some business for you. I'll get to it quickly. I am sending you all your compositions that I have received. Of these, two mazurkas and the G major Feuille d'album have been marked by me for publication. Somehow, about a week and a half ago, I snatched an hour of time to correct a few little things, which I managed to do, and also to rework the ends of your mazurkas, which I only managed in one of them and that's not very important. I am talking now about the A minor one. In it, first of all, I left out four bars. Either agree with this or repeat this second theme. in some other, more interesting arrangement. Before the coda, a conclusion in the main key is necessary, which is what I did. If this does not satisfy you (I confess, I was in a hurry), then write something yourself, but be sure to follow the rules given above. As for the conclusion I have attached, I am quite reconciled with it, and if again it does not satisfy you, then again come up with something yourself. Just remember that your previous ending is absolutely no good. It spoils all the previous music. It gives the impression that you wanted to finish quickly, no matter how it turns out. You did not take the trouble to come up with something more interesting. Not even interesting, but simply something more suitable. In the G major Andante, the amendments are insignificant. I will not go into detail! But the whole problem is in the F major mazurka. Everything is good there, except for the conclusion. Yours is no good. Mine, although motivated by the previous one, is also no good. I spent quite a long time on it. sat, but came up with nothing. In the end, I decided that the author of such an original mazurka should also come up with a finale for it himself. It’s easier for him. And maybe mine, which follows from the previous finale, will push you to something more possible. But again, it can’t be left like this. Don’t be angry with me for this and, most importantly, don’t be lazy and sit over it a little longer. Remember that this is actually the first printing of your works, and that your further success with the publisher depends on it. Please, be strict with yourself in this case. Force yourself to redo all of this. After all, you, of course, can and have the strength to redo it. I don’t want critics to scold you for such thoughtless, tacked-on endings. After all, no one will agree to play these things like that, and the things are good.

Now I also want to tell you that the F-major mazurka, as more bravura, is better placed as the last number. So fix all of this quickly and send it back to me quickly. I won't keep you with the seal.

I shake your hand firmly. Devoted to you and wishing you success

S. Rachmaninov

© https://senar.ru/letters/119",personal: check-in,neutral
113,"Letter to E. Yu. Kreutzer, 1897",Sergei Rachmaninoff,Е. Ю. Крейцер,E. Yu. Kreutzer,1897,1897-07-24,"им. Игнатово, Нижегородской губ","Ignatovo, Vladimir Oblast","Я получил Ваше письмо с последней почтой, уважаемая Елена Юльевна. В ответ на него спешу Вам выслать объяснение к затрудняющим Вас задачам. Если это объяснение Вас не удовлетворит, то я прошу Вас уведомить меня, не стесняясь, об этом. Я пришлю Вам тогда более подробное объяснение. Количество сделанных Вами задач меня радует. Играете ли Вы на фортепиано? Как Вам нравится Ваш классический репертуар?
 
 
 Преданный Вам С. Рахманинов
 
 
 От души приветствую всех Ваших.
 
 
 Очень сожалею, что не могу навестить.
 
 
 [Нотный фрагмент]
 Каждая цифра под басом означает какой-нибудь интервал. Раз у Вас написано: 
 6–
 6–5
 , то это значит, что нужно взять секстаккорд с удвоенной секстой и одну сексту вести в квинту, согласно показанию цифр (6–5). Таким образом у Вас получается уже квинтсекстаккорд доминантового аккорда. Разрешение его должно Вам быть известно. То же самое требуется взять от h к 
 4–
 6–
 4–3
 , т. е. квартсекстаккорд с удвоенной квартой, одну из которых вести в терцию (4–3). Получается терцквартаккорд. Разрешение по правилу.
 
 
 Во второй задаче ошибка. Там, где для Вас недоразумение, — пропущена одна цифра. На b нужно взять 
 4–
 6–
 4–3
 , т. е. опять квартсекстаккорд с удвоенной квартой. Одна кварта идёт в терцию (4–3), другие же два голоса (или интервала) — кварта и секста остаются на месте. Получается известный уже Вам терцквартаккорд. Разрешение по правилу.
 
 
 © https://senar.ru/letters/113","I received your letter with the last post, dear Elena Yulievna. In response to it, I hasten to send you an explanation of the problems that are difficult for you. If this explanation does not satisfy you, then I ask you to notify me, without embarrassment, about this. I will then send you a more detailed explanation. The number of problems you have completed pleases me. Do you play the piano? How do you like your classical repertoire?
 
 Yours faithfully, S. Rachmaninov
 
 I sincerely greet all of yours.
 
 I am very sorry that I cannot visit.
 
 [Note fragment]
 Each number under the bass means some interval. Since you have written:
 6–
 6–5
 , this means that you need to take a sixth chord with a doubled sixth and lead one sixth into a fifth, according to the indication of the numbers (6–5). Thus, you already get a quintessex chord of a dominant chord. Its resolution should be known to you. The same thing is required to take from h to
 4–
 6–
 4–3
 , i.e. a quart-sixth chord with a doubled fourth, one of which is taken to the third (4–3). The result is a third-fourth chord. Resolution according to the rule.
 
 There is an error in the second task. Where there is a misunderstanding for you, one digit is missing. On b you need to take
 4–
 6–
 4–3
 , i.e. again a quart-sixth chord with a doubled fourth. One fourth goes to the third (4–3), while the other two voices (or intervals) — the fourth and the sixth — remain in place. The result is the third-fourth chord already known to you. Resolution according to the rule.
 
 © https://senar.ru/letters/113",personal: apology,grateful
